RAMP US EQUITY,RAMP US,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,Position ,Filing ,Filing ,Insider ,Percent , Percent of  ,,,
ING Groep NV,ING Groep NV,0,-11803,9/30/2018,13F,N-P,0,0,Investment Advisor,Amsterdam,Netherlands
Chartwell Investment Partners LLC,Multiple Portfolios,0,-55028,7/31/2018,Multi,N-P,0,0,Investment Advisor,Philadelphia,United States
GSA Capital Partners LLP,GSA Capital Partners LLP,0,-26913,9/30/2018,13F,N-P,0,0,Hedge Fund Manager,London,United Kingdom
Genesis Asset Managers LLP,--,0,-1738,6/30/2018,ULT-AGG,N-P,0,0,Investment Advisor,Unclassified,Guernsey
Capital Fund Management SA,Capital Fund Management SA,0,-15200,9/30/2018,13F,N-P,0,0,Hedge Fund Manager,Paris,France
NORTHERN INVESTORS CO,Multiple Portfolios,0,-32815,6/30/2018,MF-AGG,N-P,0,0,Venture Capital,Unclassified,n/a
StoneRidge Investment Partners LLC,Multiple Portfolios,0,-1738,6/30/2018,Sch-D [De,N-P,0,0,Investment Advisor,Philadelphia,United States
American Century Cos Inc,American Century Cos Inc,0,-237505,9/30/2018,13F,N-P,0,0,Investment Advisor,Kansas City,United States
Advent Capital Management LLC,Multiple Portfolios,0,-1738,6/30/2018,Sch-D [De,N-P,0,0,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
MARSHALL WACE,--,0,-159582,3/31/2018,ULT-AGG,N-P,0,0,Hedge Fund Manager,London,United Kingdom
HBK Investments LP,HBK Investments LP,0,-8600,9/30/2018,13F,N-P,0,0,Hedge Fund Manager,Dallas/Ft. Worth,United States
Carillon Tower Advisers Inc,Carillon Tower Advisers Inc,0,-47470,9/30/2018,13F,N-P,0,0,Investment Advisor,Tampa,United States
Royce & Associates LP,Royce & Associates LP,0,-48000,9/30/2018,13F,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Paloma Partners Management Co,Paloma Partners Management Co,0,-9626,9/30/2018,13F,N-P,0,0,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
Shannon River Fund Management LLC,Shannon River Fund Management LLC,0,-112473,9/30/2018,13F,N-P,0,0,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
Rothschild & Cie Gestion SCS,--,0,-1373640,9/30/2018,ULT-AGG,N-P,0,0,Investment Advisor,Paris,France
Jackson Grant Investment Advisers,Jackson Grant Investment Advisers Inc,0,-3376,9/30/2018,13F,N-P,0,0,Investment Advisor,New York City/Southern CT/Northern NJ,United States
Millennium Management LLC/NY,Millennium Management LLC/NY,0,-189682,9/30/2018,13F,N-P,0,0,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
Advisory Services Network LLC,Advisory Services Network LLC,0,-273,9/30/2018,13F,N-P,0,0,Investment Advisor,Atlanta,United States
STRS Ohio,STRS Ohio,0,-1000,9/30/2018,13F,N-P,0,0,Pension Fund,Columbus,United States
Lyon Street Capital LLC,Lyon Street Capital LLC,0,-122788,9/30/2018,13F,N-P,0,0,Hedge Fund Manager,San Francisco/San Jose,United States
Highbridge Capital Management LLC,Highbridge Capital Management LLC,0,-35408,9/30/2018,13F,N-P,0,0,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
Investment Counselors of Maryland,Investment Counselors of Maryland LLC,0,-471919,9/30/2018,13F,N-P,0,0,Investment Advisor,Baltimore,United States
Meadow Creek Investment Management,Meadow Creek Investment Management LLC,0,-11088,9/30/2018,13F,N-P,0,0,Investment Advisor,Atlanta,United States
Glenmede Trust Co NA/The,Multiple Portfolios,0,-303,7/31/2018,MF-AGG,N-P,0,0,Investment Advisor,Philadelphia,United States
Piedmont Investment Advisors LLC/N,Piedmont Investment Advisors LLC/NC,0,-1365,9/30/2018,13F,N-P,0,0,Hedge Fund Manager,Raleigh,United States
Boothbay Fund Management LLC,Boothbay Fund Management LLC,0,-93505,9/30/2018,13F,N-P,0,0,Hedge Fund Manager,New York City/Southern CT/Northern NJ,United States
Acadian Asset Management LLC,Acadian Asset Management LLC,0,-5995,9/30/2018,13F,N-P,0,0,Investment Advisor,Boston,United States
Gemmer Asset Management LLC,Gemmer Asset Management LLC,0,-185,9/30/2018,13F,N-P,0,0,Investment Advisor,San Francisco/San Jose,United States
Fifth Third Bancorp,Fifth Third Bancorp,0,-647,9/30/2018,13F,N-P,0,0,Investment Advisor,Cincinnati,United States
Simplex Trading LLC,Simplex Trading LLC,0,-40085,9/30/2018,13F,N-P,0,0,Investment Advisor,Chicago,United States
